,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
1712,31,66.7,26.0,6.8,0.3
1713,23,100.0,4.0,4.0,1.4
1716,27,33.3,3.0,1.0,1.3
1725,27,100.0,1.0,1.0,1.1
1739,29,68.7,43.0,8.9,294.6
1747,25,64.7,85.0,10.1,258.7
1748,28,74.4,34.0,7.5,280.3
1751,25,60.0,53.0,6.8,222.2
1770,31,67.3,45.0,8.9,193.6
1792,27,71.1,47.0,7.5,147.1
1795,24,80.7,36.0,7.5,163.0
1796,22,63.6,66.0,7.3,143.9
1797,29,78.0,44.0,7.7,151.4
1799,24,70.8,75.0,11.8,120.5
1803,29,65.3,42.0,9.5,131.2
1807,28,69.4,75.0,8.5,133.0
1882,24,70.3,54.0,9.0,126.3
1891,32,61.8,54.0,7.1,130.6
1900,22,69.6,32.0,9.0,113.2
1901,23,68.0,74.0,11.0,107.2
1914,28,64.3,34.0,6.6,119.8
1923,27,61.2,21.0,5.9,92.9
1926,25,67.2,29.0,6.9,104.9
1934,23,75.0,32.0,7.6,90.4
1938,24,66.0,40.0,6.4,86.6
1939,24,76.9,51.0,10.8,84.3
1940,33,71.1,23.0,7.7,80.1
1942,38,76.1,32.0,8.7,87.0
1944,34,69.4,53.0,10.2,75.7
1953,24,75.0,39.0,8.5,75.7
1959,38,62.2,27.0,7.4,75.3
1965,22,74.1,39.0,8.0,65.5
1968,22,73.5,31.0,6.8,81.3
1969,25,67.4,32.0,6.3,73.9
1971,23,66.7,61.0,8.6,63.8
1978,25,70.6,36.0,8.6,65.2
1980,26,64.6,36.0,5.9,71.1
1982,23,49.3,40.0,5.0,74.3
1996,28,78.8,20.0,7.4,60.5
1997,30,73.5,29.0,8.0,60.2
2001,24,62.9,26.0,7.4,55.9
2002,27,48.0,35.0,6.6,46.4
2003,31,92.3,42.0,11.0,45.2
2012,27,87.5,39.0,11.0,53.3
2014,30,70.6,11.0,3.6,42.9
2016,28,55.8,47.0,7.1,54.5
2020,26,64.9,44.0,6.8,55.0
2023,32,91.7,49.0,9.8,40.7
2024,25,81.3,43.0,7.6,56.2
2029,23,95.0,28.0,11.3,47.5
2030,30,71.4,31.0,7.9,43.5
2031,22,57.1,66.0,11.1,35.6
2033,24,45.0,29.0,5.0,37.0
2037,30,70.4,26.0,7.8,46.0
2041,26,80.0,26.0,8.7,34.7
2046,25,53.8,34.0,10.2,32.3
2048,28,66.7,23.0,7.7,40.5
2050,31,90.9,30.0,6.6,35.3
2053,28,78.9,29.0,9.4,38.9
2055,26,68.0,28.0,9.0,39.5
2057,30,76.0,22.0,6.8,42.0
2059,25,56.5,32.0,7.1,35.3
2062,25,62.2,25.0,5.8,44.3
2063,30,62.5,41.0,11.3,26.0
2066,26,63.2,17.0,5.6,45.4
2067,24,94.1,25.0,8.4,37.1
2072,23,68.8,27.0,6.3,40.2
2079,23,58.3,16.0,4.8,31.4
2080,29,58.3,21.0,5.1,37.4
2083,26,81.8,27.0,9.3,25.2
2090,26,80.0,19.0,8.6,22.6
2091,31,100.0,19.0,10.1,24.1
2092,26,57.9,21.0,4.7,26.0
2093,26,64.3,24.0,6.1,23.6
2104,24,66.7,54.0,12.8,17.7
2106,28,58.3,23.0,5.6,19.7
2107,25,71.4,26.0,10.6,18.4
2114,22,70.6,17.0,6.8,23.6
2115,27,60.0,19.0,9.6,13.8
2120,26,40.0,50.0,10.4,13.2
2125,24,55.6,15.0,4.6,15.1
2127,26,100.0,44.0,12.5,15.6
2130,23,61.5,22.0,6.5,16.5
2136,28,68.4,13.0,4.6,21.7
2139,23,71.4,33.0,11.0,12.7
2140,28,37.5,9.0,2.1,10.7
2146,27,72.7,16.0,6.1,14.7
2149,30,75.0,26.0,7.8,16.4
2150,26,75.0,23.0,10.8,12.6
2152,25,45.5,30.0,6.1,11.7
2153,26,57.1,24.0,5.1,15.2
2155,24,75.0,24.0,7.6,12.1
2160,25,87.5,12.0,6.0,11.8
2163,24,42.9,32.0,6.4,7.5
2165,25,80.0,23.0,10.4,9.2
2167,24,55.6,17.0,5.3,9.8
2168,23,54.5,21.0,4.5,11.0
2172,34,57.1,16.0,7.4,9.2
2176,24,60.0,20.0,8.4,7.2
2180,26,66.7,16.0,6.0,7.6
2181,34,75.0,30.0,9.8,6.9
2185,25,83.3,13.0,6.0,8.6
2188,31,100.0,24.0,12.7,6.8
2192,28,75.0,21.0,6.8,5.7
2197,26,50.0,11.0,3.3,8.3
2205,27,60.0,9.0,4.6,5.3
2208,25,100.0,24.0,24.0,3.4
2221,24,100.0,23.0,23.0,3.3
2234,25,40.0,6.0,1.8,2.9
2236,23,100.0,8.0,7.0,3.4
2237,23,100.0,14.0,14.0,2.4
2247,26,100.0,5.0,5.0,1.5
2251,24,100.0,5.0,5.0,1.5
2255,26,100.0,7.0,7.0,1.7
2256,27,50.0,9.0,2.3,2.9
2257,26,66.7,6.0,3.7,3.1
2292,28,65.7,53.0,10.3,227.4
2294,28,68.0,44.0,8.5,233.5
2302,27,67.3,53.0,7.5,202.4
2316,31,59.4,33.0,5.4,171.0
2320,23,55.7,35.0,6.3,173.6
2332,28,70.4,34.0,6.6,158.2
2333,33,66.7,42.0,7.3,174.5
2341,26,62.3,35.0,7.7,143.1
2345,27,74.1,26.0,6.4,169.0
2353,35,72.4,28.0,6.4,147.0
2355,25,67.7,59.0,6.5,124.4
2424,23,72.6,34.0,9.3,126.9
2428,30,62.8,35.0,8.0,132.8
2429,33,62.3,69.0,9.4,121.8
2430,24,61.6,44.0,6.7,132.4
2435,37,77.2,33.0,6.6,137.2
2436,23,66.7,58.0,11.1,101.2
2444,23,75.4,88.0,8.1,119.6
2448,28,66.2,44.0,7.5,116.8
2462,24,68.3,44.0,8.2,106.5
2463,33,50.0,37.0,6.6,87.8
2465,21,53.3,34.0,6.4,94.7
2474,29,63.6,61.0,10.2,78.6
2478,26,74.2,27.0,8.0,79.8
2479,29,66.1,27.0,6.3,97.8
2481,23,68.3,32.0,5.9,98.2
2488,25,67.6,28.0,4.8,101.7
2495,30,62.5,64.0,9.1,79.7
2497,37,57.7,27.0,6.1,79.6
2510,24,56.9,49.0,6.8,76.5
2511,29,71.7,21.0,7.0,77.2
2515,29,73.3,33.0,9.8,63.5
2520,24,48.1,42.0,6.6,65.2
2529,27,68.2,27.0,7.0,54.3
2533,22,42.9,29.0,7.2,50.1
2541,29,75.0,27.0,7.3,59.5
2542,23,50.0,69.0,7.6,51.7
2543,31,65.4,23.0,6.8,52.7
2544,24,55.6,38.0,6.6,60.5
2547,33,57.1,29.0,6.7,55.6
2551,26,52.5,29.0,6.1,55.4
2558,27,77.1,20.0,6.0,60.1
2568,30,68.2,33.0,6.5,58.6
2570,26,51.4,51.0,6.4,46.4
2573,22,60.0,32.0,5.2,45.7
2578,25,42.9,54.0,6.8,35.2
2579,29,51.4,51.0,5.8,44.3
2582,29,63.6,44.0,8.7,39.1
2583,27,58.3,28.0,7.8,38.8
2584,32,44.7,30.0,5.0,42.1
2587,27,50.0,35.0,6.1,36.8
2589,26,51.7,27.0,6.2,39.0
2590,26,85.7,25.0,8.7,36.2
2595,24,75.7,16.0,5.5,50.3
2599,25,63.2,36.0,8.4,34.0
2600,25,58.3,29.0,6.2,34.9
2604,32,54.2,28.0,5.4,32.0
2606,25,47.8,21.0,5.7,30.2
2611,25,72.7,34.0,11.0,26.1
2612,24,80.0,21.0,8.3,30.4
2614,33,75.0,29.0,6.7,28.7
2620,24,83.3,23.0,7.9,25.5
2623,27,45.5,22.0,3.9,24.6
2626,28,44.4,31.0,9.8,18.8
2630,24,66.7,21.0,6.1,25.2
2634,27,72.7,22.0,5.7,29.7
2643,25,65.0,17.0,6.5,25.9
2645,26,63.6,15.0,5.8,26.7
2652,23,83.3,17.0,4.8,28.2
2660,29,60.0,25.0,5.2,17.2
2675,27,66.7,20.0,6.5,13.9
2676,24,61.5,34.0,7.7,18.0
2678,25,72.7,38.0,8.4,17.2
2679,25,55.6,12.0,3.6,14.2
2682,29,80.0,12.0,6.0,13.0
2693,30,72.7,21.0,6.9,15.6
2698,24,41.2,20.0,4.5,14.6
2699,26,69.2,26.0,6.2,17.0
2702,27,72.7,17.0,6.5,15.1
2713,23,66.7,7.0,4.3,9.3
2716,24,83.3,23.0,9.7,10.8
2718,24,71.4,21.0,5.4,10.8
2723,26,100.0,35.0,26.5,7.3
2724,27,80.0,22.0,9.2,8.6
2726,24,36.4,19.0,3.8,8.7
2729,30,100.0,23.0,11.5,8.6
2733,23,57.1,23.0,6.6,8.6
2737,26,75.0,12.0,4.8,6.9
2742,29,60.0,10.0,3.8,9.8
2745,25,75.0,20.0,9.0,6.6
2746,26,66.7,21.0,6.3,7.8
2747,24,100.0,14.0,12.5,4.5
2749,23,100.0,29.0,15.5,5.1
2751,23,23.1,13.0,2.0,5.6
2761,24,100.0,18.0,12.5,4.5
2770,28,33.3,10.0,3.3,3.4
2771,26,100.0,16.0,11.0,4.2
2772,23,66.7,10.0,5.0,3.5
2773,25,50.0,11.0,4.3,3.7
2796,30,66.7,2.0,0.7,2.2
2800,23,100.0,4.0,4.0,1.4
2805,24,100.0,3.0,3.0,1.3
2839,27,72.6,80.0,9.6,223.0
2844,31,62.0,78.0,8.3,207.3
2847,27,62.9,44.0,6.4,209.0
2850,30,68.4,42.0,9.7,189.3
2851,32,63.7,47.0,7.8,188.1
2856,25,70.4,38.0,8.1,171.0
2858,29,75.3,58.0,9.6,168.1
2868,26,73.6,30.0,7.7,183.6
2871,26,74.2,33.0,7.7,168.6
2880,36,57.0,27.0,5.9,147.8
2883,22,67.9,59.0,9.0,129.8
2895,28,61.7,50.0,7.8,137.3
2961,26,78.7,24.0,7.8,145.4
2964,23,71.8,61.0,8.4,144.2
2967,31,71.1,30.0,6.0,168.9
2968,34,72.6,35.0,7.1,152.3
2974,25,60.7,26.0,6.3,133.9
2976,26,67.3,23.0,7.8,113.6
2977,27,65.5,40.0,6.3,136.2
2983,31,67.1,43.0,7.5,130.2
2990,32,73.4,34.0,7.6,119.6
2993,27,65.8,53.0,14.2,97.0
2997,32,74.6,44.0,9.9,114.3
2999,26,61.7,71.0,8.4,98.4
3015,26,53.3,75.0,8.7,87.1
3021,28,57.5,44.0,5.7,109.9
3029,26,67.6,45.0,6.0,104.2
3031,25,63.5,31.0,6.9,86.9
3035,22,65.0,24.0,5.6,90.8
3037,28,58.8,24.0,5.5,82.1
3038,28,58.0,31.0,7.0,80.0
3040,28,60.7,34.0,6.4,88.1
3044,25,74.3,28.0,7.3,75.6
3051,25,68.6,27.0,5.6,93.5
3052,22,70.4,44.0,10.0,64.1
3059,29,58.8,47.0,7.4,71.7
3067,25,61.7,32.0,5.5,75.7
3069,24,63.8,22.0,5.8,69.1
3070,31,71.0,19.0,6.8,61.0
3075,25,68.4,46.0,13.9,51.4
3078,26,52.9,37.0,8.9,54.4
3079,24,68.2,45.0,13.5,50.7
3097,28,59.5,31.0,6.4,51.7
3099,23,65.8,54.0,6.2,54.4
3111,25,54.8,13.0,4.0,43.3
3114,23,83.3,25.0,10.6,34.7
3118,26,72.0,27.0,7.7,43.2
3120,26,71.4,19.0,6.1,39.9
3123,24,52.4,20.0,5.6,34.8
3126,32,66.7,37.0,5.6,42.9
3130,23,79.2,17.0,6.7,41.1
3135,30,77.8,37.0,8.6,35.4
3136,26,68.2,35.0,6.8,35.9
3139,24,65.0,30.0,7.7,34.4
3140,24,58.8,15.0,5.0,30.5
3143,32,61.5,17.0,6.4,28.3
3149,29,52.6,28.0,7.1,29.4
3150,24,76.2,14.0,5.8,34.2
3152,24,80.0,12.0,6.2,34.4
3158,27,82.4,53.0,10.2,31.4
3164,31,73.7,24.0,8.2,29.5
3169,23,68.8,14.0,5.8,26.3
3170,23,37.9,31.0,2.9,25.5
3174,25,80.0,17.0,8.0,30.0
3175,24,52.9,31.0,8.3,23.1
3178,31,50.0,12.0,4.2,20.9
3180,28,68.2,15.0,4.2,28.2
3182,25,57.1,22.0,5.1,21.1
3186,29,66.7,16.0,4.8,23.2
3192,28,72.7,13.0,5.5,20.0
3196,29,70.0,24.0,6.1,19.1
3204,23,60.0,10.0,3.8,15.8
3207,23,60.0,26.0,8.4,13.2
3211,25,44.4,45.0,9.4,12.5
3214,25,57.1,14.0,4.3,13.0
3217,24,83.3,21.0,7.7,19.2
3230,24,100.0,17.0,17.0,8.7
3233,26,66.7,18.0,7.3,10.2
3246,23,75.0,28.0,8.6,12.9
3248,24,75.0,26.0,14.8,8.9
3249,27,72.7,14.0,5.7,14.3
3254,26,80.0,30.0,12.4,10.2
3256,25,100.0,1.0,1.0,7.1
3266,23,100.0,20.0,7.3,10.4
3267,22,66.7,14.0,6.8,8.1
3275,25,80.0,13.0,7.0,7.5
3276,29,66.7,20.0,12.0,5.6
3280,29,100.0,13.0,12.5,4.5
3283,29,100.0,12.0,4.8,8.9
3284,23,75.0,21.0,8.0,6.2
3290,28,50.0,13.0,3.0,4.8
3292,29,100.0,9.0,6.3,4.9
3299,29,30.0,7.0,1.5,4.5
3304,28,62.5,11.0,2.9,7.3
3307,23,50.0,6.0,2.5,4.5
3310,23,66.7,13.0,6.0,3.8
3315,26,100.0,6.0,5.0,3.0
3316,25,50.0,14.0,7.0,2.4
3318,23,75.0,6.0,2.8,4.1
3322,24,50.0,7.0,3.3,3.3
3323,25,66.7,8.0,4.3,3.3
3325,24,100.0,13.0,13.0,2.3
3328,24,100.0,10.0,10.0,2.0
3331,31,100.0,8.0,8.0,1.8
