,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
189,28,54.8,42.0,7.1,103.5
190,23,63.0,58.0,6.2,127.0
191,28,54.5,26.0,6.7,86.5
192,23,62.5,68.0,8.6,86.5
195,22,66.7,61.0,13.0,84.5
196,27,47.3,75.0,7.8,87.0
198,23,67.3,36.0,7.2,92.9
199,28,71.8,29.0,6.3,109.7
200,26,67.1,43.0,7.8,105.9
201,24,58.5,49.0,7.7,89.8
202,22,67.6,36.0,7.6,103.5
203,24,63.2,34.0,7.4,82.2
205,25,56.5,41.0,7.2,91.5
206,27,55.1,41.0,5.6,94.5
208,35,58.8,75.0,13.4,75.8
210,25,64.0,34.0,7.5,87.7
213,21,84.4,77.0,6.8,109.1
218,26,61.5,29.0,5.9,76.0
219,28,48.7,36.0,6.9,89.1
220,26,59.2,39.0,8.1,80.6
221,28,54.9,54.0,8.8,78.9
222,22,55.0,32.0,7.4,83.6
223,32,62.2,52.0,8.9,74.1
226,24,70.2,21.0,5.8,83.2
229,32,64.6,51.0,9.0,80.4
230,28,57.6,39.0,6.2,87.0
231,26,64.7,41.0,8.5,82.4
233,22,67.9,40.0,8.3,85.0
234,28,50.0,65.0,8.0,60.3
239,36,63.2,39.0,6.5,68.8
241,22,57.9,34.0,5.2,78.1
245,27,61.0,33.0,6.4,69.4
247,29,59.5,41.0,8.7,64.6
249,24,44.8,42.0,5.8,68.6
250,22,68.4,38.0,7.4,82.4
251,28,55.1,49.0,8.0,70.4
253,28,67.9,37.0,6.9,77.7
254,25,54.5,42.0,6.5,65.8
262,27,59.6,22.0,5.4,71.1
263,28,68.4,54.0,8.7,64.9
265,24,59.1,62.0,7.9,51.5
270,24,59.4,33.0,6.5,57.8
272,28,66.1,27.0,6.2,79.3
275,31,50.0,50.0,7.8,57.2
277,23,72.2,56.0,13.8,49.9
281,23,65.5,31.0,6.5,72.0
287,28,83.3,62.0,17.7,44.6
288,28,95.5,67.0,10.3,55.7
290,27,69.8,39.0,7.0,65.0
291,23,68.2,46.0,9.3,49.4
292,27,51.1,21.0,5.9,57.5
296,25,65.2,43.0,9.2,48.8
299,26,76.9,28.0,6.8,52.5
301,25,75.0,61.0,9.3,44.9
307,28,72.0,55.0,10.0,49.0
308,26,55.0,51.0,11.2,41.0
310,29,64.7,46.0,7.8,39.5
312,25,70.6,52.0,9.5,40.1
314,26,63.6,27.0,8.6,34.6
316,31,64.9,25.0,5.8,51.4
317,25,31.8,41.0,7.0,34.4
319,25,59.1,24.0,4.2,66.2
327,24,65.2,40.0,7.6,38.5
329,22,83.3,44.0,19.3,28.6
336,21,43.5,44.0,5.9,33.4
337,27,67.6,17.0,6.2,48.0
338,29,64.1,64.0,5.5,48.0
340,24,50.0,51.0,8.1,32.2
343,28,61.1,58.0,9.3,33.4
350,25,80.0,32.0,10.1,36.2
351,25,53.6,24.0,4.6,34.8
357,25,64.0,27.0,7.4,34.4
358,24,50.0,17.0,3.2,28.3
359,26,48.1,42.0,5.8,30.7
