,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
509,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,3.0
511,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,3.6
515,5.833333333333333,203.0,4.41,37.0,20.0,125.0,7.0,4.24,2020.0,3.8
520,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,5.1
521,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,2.0
523,5.666666666666667,209.0,4.56,30.0,29.0,114.0,7.4,4.53,2020.0,4.2
524,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,5.1
525,5.833333333333333,214.0,4.6,33.5,23.0,117.0,7.19,4.5,2021.0,3.5
526,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,5.3
531,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,4.6
533,5.833333333333333,217.0,4.47,35.5,20.0,122.0,7.0,4.42,2020.0,4.3
537,5.833333333333333,218.0,4.62,34.5,17.0,118.0,7.51,4.48,2021.0,2.0
540,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,0.7
544,5.833333333333333,204.0,4.49,38.0,22.0,122.0,6.71,4.12,2021.0,0.5
548,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,1.1
550,5.833333333333333,216.0,4.54,35.0,15.0,120.0,7.13,4.51,2018.0,1.3
553,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,2.4
558,6.166666666666667,232.0,4.58,33.0,15.0,122.0,6.95,4.16,2018.0,1.8
559,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,1.2
562,5.666666666666667,208.0,4.62,33.5,19.0,114.0,7.08,4.39,2021.0,1.1
570,5.75,196.0,4.52,35.5,20.0,122.0,6.87,4.2,2013.0,43.349999999999994
571,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,1.4
574,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,0.3
