#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
34,3.09,Reggie Bush,RB,DET,33.3,3.6,2.12,5.02,264
35,3.1,Alfred Morris,RB,WAS,34.2,4.5,1.05,4.09,263
36,3.11,Vincent Jackson,WR,TB,34.7,4.7,3.01,4.1,280
37,3.12,Cordarrelle Patterson,WR,MIN,36.2,5.1,3.01,5.02,250
38,3.12,Andre Johnson,WR,HOU,36.4,4.5,2.09,4.12,273
39,4.02,Rashad Jennings,RB,NYG,38.4,3.7,3.03,5.03,249
40,4.04,Pierre Garcon,WR,WAS,40.4,4.4,2.1,5.02,229
41,4.04,Emmanuel Sanders,WR,DEN,40.5,4.9,3.01,5.03,248
42,4.06,Larry Fitzgerald,WR,ARI,42,4.4,3.01,5.07,224
43,4.06,C.J. Spiller,RB,None,42.1,5.4,3.03,5.09,210
44,4.07,Toby Gerhart,RB,JAX,42.8,5.5,3.05,5.12,219
45,4.08,Victor Cruz,WR,NYG,43.8,4.2,3.02,5.06,246
46,4.1,Joique Bell,RB,DET,45.9,6.2,3.09,6.01,245
47,4.1,Michael Floyd,WR,ARI,46.3,5.6,3.04,6.01,257
48,4.12,Julian Edelman,WR,NE,48.3,5.2,3.07,6.07,225
49,4.12,Matthew Stafford,QB,DET,48.4,8.2,2.12,7.04,185
50,5.02,Michael Crabtree,WR,SF,49.8,5.3,3.05,6.02,236
51,5.03,Ryan Mathews,RB,LAC,50.8,6.7,3.08,6.08,221
52,5.03,Jordan Cameron,TE,CLE,51,6.9,3.04,6.09,167
53,5.05,Ray Rice,RB,BAL,52.6,7,3.09,6.07,213
54,5.07,Pierre Thomas,RB,NO,55,5.6,3.12,6.1,270
55,5.07,T.Y. Hilton,WR,IND,55.2,6.2,3.08,6.11,212
56,5.07,Andrew Luck,QB,IND,55.2,8.5,2.12,7.08,208
57,5.08,Frank Gore,RB,SF,56.3,6.1,3.12,7.04,237
58,5.08,Torrey Smith,WR,BAL,56.4,5.2,4.09,6.11,248
59,5.1,Ben Tate,RB,CLE,58.3,6.2,4.01,7.01,280
60,5.12,Chris Johnson,RB,NYJ,60,6.2,4.01,7.1,244
61,6.01,Tom Brady,QB,NE,61.4,8.6,1.06,7.11,155
62,6.02,DeSean Jackson,WR,WAS,61.7,7.2,4.01,7.1,228
63,6.02,Kendall Wright,WR,TEN,61.8,6.5,4.08,7.1,236
64,6.03,Vernon Davis,TE,SF,62.8,8.1,3.08,7.09,137
65,6.04,Jeremy Maclin,WR,PHI,64.3,7.2,4.1,7.08,211
66,6.05,Marques Colston,WR,NO,65.4,6.7,4.08,7.08,228
67,6.06,Bishop Sankey,RB,TEN,66.1,7.2,4.04,7.11,210
68,6.07,Jason Witten,TE,DAL,66.6,7.1,4.12,8.1,142
69,6.08,Matt Ryan,QB,ATL,67.6,7.7,4.02,8.07,182
70,6.09,Wes Welker,WR,DEN,69.1,10,4.03,9.06,219
71,6.1,Danny Woodhead,RB,LAC,70,8.3,4.02,8.08,207
72,7.01,Brandin Cooks,WR,NO,72.8,8.6,4.11,8.11,218
