player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Brock Wright,60994,TE,DET,16,0,11,64.0,0,3,51,24.8,26.2,97.1,0,3,0,56,214,45.4,0,0,3,5.1,5.1,100.0,0,0,3,59
Samaje Perine,11869,HB,DEN,17,0,10,31.1,3,3,52,19.5,18.8,90.4,0,8,2,54,287,38.8,1,1,27,16.9,15.7,88.9,4,2,27,172
Gus Edwards,46027,HB,BLT,19,0,3,55.1,0,3,47,20.7,21.9,96.8,1,3,0,52,237,54.8,0,2,10,12.3,12.8,90.0,2,0,11,86
James Conner,11860,HB,ARZ,13,0,1,68.0,0,2,45,18.3,19.0,97.8,0,2,0,51,269,71.7,0,0,10,15.6,18.9,100.0,0,0,14,74
Chris Glaser,62780,G,NYJ,3,0,22,59.5,0,1,46,100.0,100.0,96.7,1,2,1,51,51,52.9,0,0,23,100.0,100.0,95.7,1,1,26,26
Najee Harris,57121,HB,PIT,18,0,25,58.8,0,5,49,18.1,17.2,92.9,0,6,1,50,291,43.2,0,4,16,14.0,13.2,87.5,4,0,17,129
Luke Farrell,42353,TE,JAX,17,0,15,67.6,0,1,47,29.2,29.8,94.7,0,3,2,50,168,69.6,0,0,1,5.3,5.3,100.0,0,0,1,19
Rhamondre Stevenson,98689,HB,NE,12,0,19,72.7,0,3,48,16.1,16.2,94.8,0,4,1,50,308,81.0,0,0,27,18.8,18.4,96.3,1,1,27,147
Latavius Murray,7962,HB,BUF,18,0,4,64.3,1,5,50,20.3,19.0,92.0,1,7,1,50,263,48.5,1,4,27,22.1,20.0,87.0,6,1,27,135
Cole Van Lanen,41583,T,JAX,2,0,15,45.5,1,5,45,100.0,100.0,93.3,0,6,0,50,50,55.3,1,4,28,100.0,100.0,91.1,5,0,31,31
Austin Hooper,10715,TE,LV,17,0,23,81.5,1,1,48,15.3,15.1,97.9,0,2,0,50,331,54.2,0,1,3,2.0,1.9,83.3,1,0,3,158
Tyler Higbee,10744,TE,LA,16,0,26,67.6,0,3,44,8.5,9.0,94.3,2,4,1,50,555,45.2,0,0,2,0.8,0.7,50.0,1,1,2,282
Matt Nelson,48584,T,DET,2,0,11,71.6,1,1,47,100.0,100.0,97.9,0,2,0,49,49,63.0,1,1,27,100.0,100.0,96.3,2,0,27,27
Dalton Schultz,47304,TE,HST,17,0,13,61.1,0,2,46,8.9,8.9,95.7,0,3,1,49,551,43.2,0,2,12,4.9,4.9,91.7,2,0,13,263
Javonte Williams,77803,HB,DEN,16,0,10,27.8,1,4,43,20.2,21.0,94.2,1,5,0,48,229,23.5,1,1,9,15.3,17.9,88.9,2,0,12,67
Ameer Abdullah,9487,HB,LV,17,0,23,17.7,1,7,46,24.6,24.2,87.0,0,10,2,48,198,13.8,1,6,29,22.0,21.4,81.0,9,2,30,140
Patrick Ricard,48862,FB,BLT,19,0,3,62.8,0,4,46,28.8,28.4,95.7,0,4,0,48,169,10.9,0,2,4,10.0,8.9,75.0,2,0,4,45
Emari Demercado,77763,HB,ARZ,14,0,1,74.7,0,0,45,21.6,21.4,100.0,0,0,0,47,220,85.3,0,0,28,23.0,22.7,100.0,0,0,29,128
Foster Moreau,47043,TE,NO,15,0,20,52.3,0,2,46,23.0,22.7,97.8,0,2,0,47,207,38.3,0,1,10,11.5,11.0,95.0,1,0,10,91
Jake Andrews,81868,G,NE,2,0,19,34.2,0,4,47,100.0,100.0,95.7,0,4,0,47,47,10.9,0,4,27,100.0,100.0,92.6,4,0,27,27
Derrick Henry,10679,HB,TEN,17,0,31,79.1,0,0,45,20.2,19.7,97.8,0,1,1,47,239,72.4,0,0,1,4.5,4.0,100.0,0,0,1,25
Kenneth Walker III,97199,HB,SEA,15,0,29,40.7,0,3,44,18.0,17.7,96.6,2,3,0,47,265,29.9,0,1,9,11.0,10.0,94.4,1,0,9,90
D'Andre Swift,57212,HB,PHI,17,0,24,48.9,0,4,45,13.0,12.8,93.3,0,5,1,47,367,61.6,0,1,16,13.1,13.4,96.9,1,0,18,134
Patrick Taylor,40448,HB,GB,13,1,12,59.6,1,3,42,23.6,24.6,92.9,1,5,1,46,187,69.6,0,2,27,29.0,29.3,92.6,3,1,29,99
Brady Christensen,51985,G,CAR,1,0,5,51.4,0,4,42,100.0,100.0,95.2,0,4,0,46,46,47.9,0,2,33,100.0,100.0,97.0,2,0,36,36
Chigoziem Okonkwo,84000,TE,TEN,17,1,31,63.9,0,1,42,9.5,9.7,98.8,2,1,0,46,475,77.4,0,0,8,3.7,3.3,100.0,0,0,8,239
George Kittle,11901,TE,SF,19,0,28,70.6,1,2,43,7.1,7.0,96.5,0,3,0,45,640,54.7,1,1,14,5.3,5.3,92.9,2,0,15,282
Tucker Kraft,104034,TE,GB,19,0,12,70.3,1,3,42,11.1,11.3,95.2,1,4,0,45,397,61.5,1,1,10,7.0,7.3,90.0,2,0,11,150
Jahmyr Gibbs,122474,HB,DET,18,0,11,26.8,1,9,44,10.7,10.1,88.6,0,10,0,44,434,20.7,1,6,19,9.0,8.7,81.6,7,0,19,219
Jonnu Smith,11855,TE,ATL,17,1,2,75.4,0,3,41,9.9,10.0,96.3,2,3,0,44,439,79.2,0,0,4,2.5,2.4,100.0,0,0,4,168
Brett Toth,46848,G,CAR,1,0,5,32.3,0,3,38,100.0,100.0,93.4,1,4,1,44,44,16.3,0,2,19,100.0,100.0,89.5,3,1,23,23
Kareem Hunt,11841,HB,CLV,16,0,8,58.4,0,1,40,21.2,21.2,96.2,0,2,1,43,203,49.4,0,1,20,23.3,22.2,92.5,2,1,20,90
Darnell Washington,124044,TE,PIT,18,0,25,66.7,0,1,41,22.0,21.9,98.8,0,1,0,43,196,72.2,0,0,2,3.4,3.2,100.0,0,0,2,63
Colby Parkinson,52266,TE,SEA,17,0,29,69.8,0,3,38,14.6,14.8,96.1,1,3,0,42,283,67.0,0,1,3,3.0,3.7,83.3,1,0,4,109
Tyler Steen,81921,G,PHI,3,0,24,21.9,1,5,39,100.0,100.0,92.3,0,6,0,42,42,22.8,0,4,21,100.0,100.0,90.5,4,0,23,23
Will Dissly,30762,TE,SEA,16,0,29,83.5,0,0,37,20.3,22.0,100.0,0,0,0,42,191,70.2,0,0,1,2.1,2.0,100.0,0,0,1,49
James Cook,83666,HB,BUF,19,0,4,23.5,1,9,37,9.7,10.2,86.5,0,10,0,41,402,14.6,0,7,17,10.9,12.4,79.4,7,0,21,170
Justin McCray,9234,G,CAR,2,0,5,39.5,0,3,38,100.0,100.0,96.1,1,3,0,41,41,10.9,0,3,17,100.0,100.0,91.2,3,0,18,18
Dan Feeney,11826,C,CHI,3,0,6,44.8,0,2,37,100.0,100.0,94.6,0,3,1,40,40,25.6,0,2,20,100.0,100.0,90.0,3,1,22,22
Mo Alie-Cox,12078,TE,IND,17,0,14,56.7,0,2,34,18.0,19.4,94.1,0,3,1,40,206,34.1,0,1,7,12.1,11.5,92.9,1,0,7,61
Pharaoh Brown,12247,TE,NE,17,0,19,60.1,0,3,39,25.5,25.5,96.2,0,3,0,40,157,68.1,0,0,1,2.8,2.8,100.0,0,0,1,36
Noah Gray,60878,TE,KC,21,0,16,47.6,2,3,37,8.9,8.8,93.2,0,5,0,39,441,26.5,1,0,4,2.1,2.4,87.5,1,0,5,209
Jerick McKinnon,8731,HB,KC,13,0,16,58.1,0,4,35,15.6,16.0,94.3,0,4,0,39,244,52.4,0,4,22,15.5,16.4,90.9,4,0,26,159
Miles Sanders,40555,HB,CAR,16,0,5,23.3,0,5,38,15.3,14.3,85.5,0,8,3,38,265,18.5,0,3,18,13.3,12.5,80.6,5,2,18,144
Dan Skipper,12307,G,DET,13,0,11,58.3,1,1,34,77.3,77.6,94.1,0,3,1,38,49,79.4,0,0,6,100.0,100.0,100.0,0,0,8,8
Tyler Conklin,47124,TE,NYJ,17,0,22,66.6,0,3,37,7.3,6.9,95.9,0,3,0,37,536,74.9,0,0,6,2.4,2.2,100.0,0,0,6,274
