,Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999,great_season_probability_prediction
27,28,Mike Evans,31,TAM,WR,14,14,110,74,1004,53,778,10.5,226,3.1,11.6,2,37.0,4,3.6,5,110.6,PB,EvanMi00,0.049295336
36,37,A.J. Brown,27,PHI,WR,13,13,97,67,1079,51,726,10.8,353,5.3,12.1,9,7.4,0,0.0,2,121.5,AP-2,BrowAJ00,0.04747579
5,6,Justin Jefferson,25,MIN,WR,17,17,154,103,1533,62,1046,10.2,487,4.7,10.9,5,20.6,5,3.2,5,107.4,PBAP-1AP OPoY-7,JeffJu00,0.04657871
80,81,Tyler Lockett,32,SEA,WR,17,14,74,49,600,36,466,9.5,134,2.7,10.7,1,49.0,4,5.4,4,77.5,,LockTy00,0.04545054
153,152,Nick Westbrook-Ikhine,27,TEN,WR,17,9,60,32,497,25,373,11.7,124,3.9,11.5,2,16.0,4,6.7,3,99.8,,WestNi00,0.044823073
94,95,Rashod Bateman,25,BAL,WR,17,14,72,45,756,35,572,12.7,184,4.1,13.6,0,,4,5.6,2,125.9,,BateRa00,0.044823073
57,58,Jaylen Waddle,26,MIA,WR,15,15,83,58,744,38,508,8.8,236,4.1,10.0,0,,8,9.6,3,90.6,,WaddJa00,0.044823073
170,169,Jalen Nailor,25,MIN,WR,17,7,42,28,414,22,308,11.0,106,3.8,11.5,0,,4,9.5,0,138.3,,NailJa00,0.044823073
128,127,Jalen McMillan,23,TAM,WR,13,12,58,37,461,23,328,8.9,133,3.6,12.2,1,37.0,4,6.9,6,88.4,,McMiJa01,0.044488378
21,22,Courtland Sutton,29,DEN,WR,17,13,135,81,1081,57,902,11.1,179,2.2,13.2,1,81.0,9,6.7,6,86.7,,SuttCo00,0.044488378
101,100,Kayshon Boutte,22,NWE,WR,15,13,68,43,589,25,439,10.2,150,3.5,14.5,1,43.0,4,5.9,2,93.3,,BoutKa00,0.044488378
98,99,Amari Cooper,30,2TM,WR,14,10,85,44,547,25,436,9.9,111,2.5,12.3,1,44.0,12,14.1,2,77.9,,CoopAm00,0.044488378
164,163,Keon Coleman,21,BUF,WR,13,12,57,29,556,22,341,11.8,215,7.4,15.2,4,7.3,4,7.0,2,93.9,,ColeKe02,0.04339549
236,235,Nelson Agholor,31,BAL,WR,14,7,29,14,231,10,146,10.4,85,6.1,13.4,1,14.0,4,13.8,0,98.5,,AghoNe00,0.04339549
