"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Antoine Wesley","ARI","13.1","161.3","0.9","0.0","0.0","0.0","0.0","21.7"
"Ben Skowronek","LAR","12.9","157.0","1.0","0.0","0.0","0.0","0.0","21.6"
"Tyquan Thornton","NE","13.2","153.1","1.0","0.0","0.0","0.0","0.1","21.3"
"Justin Watson","KC","12.3","136.1","1.3","0.0","0.0","0.0","0.1","21.2"
"Bo Melton","SEA","12.2","155.5","0.9","0.0","0.0","0.0","0.0","21.0"
"DJ Turner","LV","12.1","145.0","1.0","0.0","0.0","0.0","0.0","20.2"
"Ray-Ray McCloud","SF","12.9","174.0","0.5","0.0","0.0","0.0","0.0","20.1"
"Dez Fitzpatrick","TEN","10.8","139.6","0.8","0.0","0.0","0.0","0.0","18.9"
"Danny Gray","SF","11.1","137.9","0.8","0.0","0.0","0.0","0.0","18.7"
"KhaDarel Hodge","ATL","9.8","141.7","0.8","0.0","0.0","0.0","0.0","18.7"
"Damiere Byrd","ATL","11.7","140.5","0.8","0.0","0.0","0.0","0.0","18.5"
"Demetric Felton Jr.","CLE","10.3","109.1","0.6","4.4","24.5","0.1","0.1","17.7"
"Dareke Young","SEA","11.1","132.6","0.7","0.0","0.0","0.0","0.0","17.6"
"Jalen Nailor","MIN","9.7","114.4","0.8","0.0","0.0","0.0","0.0","16.2"
"Ihmir Smith-Marsette","CHI","8.2","109.8","0.8","0.0","0.0","0.0","0.0","15.7"
"Erik Ezukanma","MIA","9.0","111.0","0.7","0.0","0.0","0.0","0.0","15.4"
"Amari Rodgers","GB","7.3","104.6","0.7","0.0","0.0","0.0","0.0","14.7"
"Dyami Brown","WAS","6.4","108.4","0.6","0.0","0.0","0.0","0.0","14.5"
"Breshad Perriman","TB","6.7","99.5","0.7","0.0","0.0","0.0","0.0","14.3"
"Juwan Johnson","NO","9.7","95.6","0.7","0.0","0.0","0.0","0.0","13.6"
"Kendall Hinton","DEN","5.0","101.1","0.5","0.0","0.0","0.0","0.0","12.9"
"DeAndre Carter","LAC","7.8","92.5","0.6","0.0","0.0","0.0","0.1","12.6"
"Denzel Mims","NYJ","6.8","98.5","0.5","0.0","0.0","0.0","0.0","12.6"
"Simi Fehoko","DAL","7.3","85.3","0.7","0.0","0.0","0.0","0.1","12.5"
"Samori Toure","GB","6.8","80.9","0.7","0.0","0.0","0.0","0.0","12.4"
"David Sills V","NYG","8.1","96.6","0.5","0.0","0.0","0.0","0.1","12.3"
"Tim Jones","JAC","7.5","91.6","0.5","0.0","0.0","0.0","0.0","12.3"
"KaVontae Turpin","DAL","4.4","57.1","0.4","4.4","26.6","0.2","0.0","11.6"
"Jeff Smith","NYJ","5.7","90.6","0.4","0.0","0.0","0.0","0.0","11.5"
"Trent Taylor","CIN","6.5","75.7","0.7","0.0","0.0","0.0","0.0","11.4"
"Tre'Quan Smith","NO","8.5","75.4","0.6","0.0","0.0","0.0","0.0","11.1"
"Tylan Wallace","BAL","6.5","78.5","0.5","0.0","0.0","0.0","0.0","10.8"
