,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
1176,Mike Evans,2020,27.0,WR,64.2,50.0,9.2,4.53,6.416666667,231.0,37.0,12.0,7.08,4.26,15.5375
1177,A.J. Brown,2020,23.0,WR,66,73.0,10.1,4.49,6.0,226.0,36.5,19.0,0.0,0.0,20.625
1181,DeAndre Hopkins,2020,28.0,WR,71.9,60.0,8.8,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,17.9875
1183,Tyler Lockett,2020,28.0,WR,75.8,47.0,8.0,4.4,5.833333333,182.0,35.5,0.0,6.89,4.07,16.5875
1187,Allen Robinson,2020,27.0,WR,67.5,42.0,8.3,4.6,6.25,220.0,39.0,0.0,7.0,4.0,16.43125
1189,Robert Woods,2020,28.0,WR,69.8,56.0,7.3,4.51,6.0,201.0,33.5,14.0,7.15,4.47,15.31875
1192,Marvin Jones,2020,30.0,WR,66.1,43.0,8.5,4.46,6.166666667,199.0,33.0,22.0,6.81,4.11,14.2375
1193,Brandin Cooks,2020,27.0,WR,68.1,57.0,9.7,4.33,5.833333333,189.0,36.0,16.0,6.76,3.81,15.466666666666667
1198,D.J. Moore,2020,23.0,WR,55.9,74.0,10.1,4.42,6.0,210.0,39.5,15.0,6.95,4.07,15.107142857142858
1199,Keenan Allen,2020,28.0,WR,68,28.0,6.7,4.58,6.166666667,206.0,0.0,0.0,0.0,0.0,18.853846153846153
1200,Amari Cooper,2020,26.0,WR,70.8,69.0,8.6,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,15.786666666666667
1202,CeeDee Lamb,2020,21.0,WR,66.7,52.0,8.4,4.5,6.166666667,198.0,34.5,11.0,0.0,0.0,15.549999999999999
1210,Nelson Agholor,2020,27.0,WR,58.5,85.0,10.9,4.42,6.0,198.0,0.0,12.0,0.0,0.0,14.276923076923076
1211,JuJu Smith-Schuster,2020,24.0,WR,75.8,31.0,6.5,4.54,6.083333333,215.0,32.5,15.0,0.0,0.0,16.72142857142857
1212,Terry McLaurin,2020,25.0,WR,64.9,68.0,8.3,4.35,6.0,208.0,37.5,18.0,7.01,4.15,14.92
1213,Will Fuller,2020,26.0,WR,70.7,77.0,11.7,4.32,6.0,186.0,33.5,10.0,6.93,4.27,17.172727272727272
1218,Diontae Johnson,2020,24.0,WR,61.1,47.0,6.4,4.53,5.833333333,183.0,33.5,15.0,7.09,4.45,17.06153846153846
1222,Tee Higgins,2020,21.0,WR,62,67.0,8.4,0.0,6.333333333,216.0,0.0,0.0,0.0,0.0,13.9
1223,Corey Davis,2020,25.0,WR,70.7,75.0,10.7,0.0,6.25,209.0,0.0,0.0,0.0,0.0,15.950000000000001
1225,Chris Godwin,2020,24.0,WR,77.4,47.0,10.0,4.42,6.083333333,209.0,36.0,19.0,7.01,4.0,15.916666666666666
1251,Brandon Aiyuk,2020,22.0,WR,62.5,49.0,7.8,4.5,6.0,205.0,40.0,11.0,0.0,0.0,16.772727272727273
1252,Marquise Brown,2020,23.0,WR,58,70.0,7.7,0.0,5.75,166.0,0.0,0.0,0.0,0.0,13.071428571428571
1255,Cooper Kupp,2020,27.0,WR,74.2,55.0,7.9,4.62,6.166666667,204.0,31.0,0.0,6.75,4.08,17.391666666666666
1257,Jarvis Landry,2020,28.0,WR,71.3,32.0,8.3,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,13.428571428571429
1261,Michael Gallup,2020,24.0,WR,56.2,55.0,8.0,4.51,6.083333333,205.0,36.0,10.0,6.95,4.37,11.553333333333335
1271,T.Y. Hilton,2020,31.0,WR,60.2,50.0,8.2,4.34,5.75,183.0,0.0,0.0,0.0,0.0,10.946666666666665
1273,Jerry Jeudy,2020,21.0,WR,46,92.0,7.6,4.45,6.083333333,193.0,35.0,0.0,0.0,4.53,11.257142857142856
1275,Mike Williams,2020,26.0,WR,56.5,64.0,8.9,0.0,6.333333333,218.0,32.5,15.0,0.0,0.0,13.97272727272727
1278,Marquez Valdes-Scantling,2020,26.0,WR,52.4,78.0,11.0,4.37,6.333333333,206.0,30.5,15.0,0.0,0.0,11.441666666666668
1279,DeVante Parker,2020,27.0,WR,61.2,31.0,7.7,4.45,6.25,209.0,36.5,17.0,0.0,0.0,15.118181818181819
1280,Gabriel Davis,2020,21.0,WR,56.5,56.0,9.7,4.54,6.166666667,216.0,35.0,14.0,7.08,4.59,12.445454545454545
1283,Laviska Shenault Jr.,2020,22.0,WR,73.4,36.0,7.6,4.58,6.083333333,227.0,0.0,17.0,0.0,0.0,13.091666666666667
1284,Christian Kirk,2020,24.0,WR,60.8,80.0,7.9,4.47,5.833333333,201.0,35.5,20.0,7.09,4.45,14.64
1285,Sterling Shepard,2020,27.0,WR,73.3,29.0,7.3,4.48,5.833333333,194.0,41.0,20.0,7.0,4.35,13.541666666666666
1290,Zach Pascal,2020,26.0,WR,62,42.0,8.9,4.55,6.166666667,219.0,36.0,14.0,7.11,4.29,9.778571428571428
1294,Darius Slayton,2020,23.0,WR,52.1,41.0,7.8,4.39,6.083333333,190.0,40.5,11.0,7.0,4.15,9.4
