,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
4103,Crockett Gillmore,2015,24.0,TE,70.2,46.0,8.8,4.89,6.5,260.0,33.5,0.0,7.42,4.44,9.82
4108,Martellus Bennett,2015,28.0,TE,66.3,24.0,5.5,4.68,6.5,259.0,34.0,18.0,7.64,4.53,10.445454545454545
4123,Jordan Cameron,2015,27.0,TE,50,29.0,5.5,4.53,6.416666667,254.0,37.5,23.0,6.82,4.03,5.725
4139,Vance McDonald,2015,25.0,TE,65.2,36.0,7.1,4.69,6.333333333,267.0,33.5,31.0,7.08,4.53,7.327272727272727
4145,Jared Cook,2015,28.0,TE,52,49.0,6.4,4.49,6.416666667,246.0,41.0,23.0,0.0,0.0,7.258333333333333
4161,Anthony Fasano,2015,31.0,TE,61.9,33.0,6.9,4.72,6.333333333,259.0,33.5,19.0,6.94,4.34,6.081818181818182
4172,Lance Kendricks,2015,27.0,TE,69.4,37.0,6.8,4.65,6.25,243.0,34.5,25.0,6.94,4.15,5.125
4194,Ed Dickson,2015,28.0,TE,65.4,17.0,4.7,4.59,6.333333333,249.0,34.0,23.0,7.32,4.59,4.281818181818182
4203,Jermaine Gresham,2015,27.0,TE,56.3,22.0,7.0,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,3.858333333333333
4226,Craig Stevens,2015,31.0,TE,75,27.0,7.6,4.59,6.25,254.0,27.5,27.0,7.07,4.31,3.2818181818181817
4231,Marcedes Lewis,2015,31.0,TE,43.2,45.0,6.1,4.8,6.5,261.0,37.0,23.0,7.24,4.82,2.4125
4240,C.J. Fiedorowicz,2015,24.0,TE,70.8,25.0,7.0,4.76,6.416666667,265.0,31.5,25.0,7.1,4.26,2.692857142857143
4264,Dwayne Allen,2015,25.0,TE,55.2,21.0,3.8,4.85,6.25,255.0,32.0,27.0,7.12,4.37,2.75
4303,Lee Smith,2015,28.0,TE,92.3,17.0,5.4,4.94,6.5,266.0,29.0,25.0,7.13,4.28,1.6666666666666667
4309,Luke Stocker,2015,27.0,TE,69.2,14.0,4.7,4.68,6.416666667,258.0,33.0,27.0,7.03,4.4,1.623076923076923
4353,Jim Dray,2015,29.0,TE,37.5,18.0,3.8,4.82,6.416666667,246.0,0.0,17.0,0.0,0.0,1.21
4359,Levine Toilolo,2015,24.0,TE,58.3,11.0,3.7,4.86,6.666666667,260.0,31.0,17.0,7.09,4.57,0.8933333333333333
4464,Rob Gronkowski,2014,25.0,TE,62.6,46.0,8.6,4.68,6.5,264.0,0.0,23.0,0.0,0.0,26.639999999999997
4482,Jimmy Graham,2014,28.0,TE,68,29.0,7.1,4.53,6.5,260.0,38.5,0.0,6.9,4.45,17.684615384615384
4486,Greg Olsen,2014,29.0,TE,68.3,38.0,8.2,4.51,6.5,254.0,35.5,23.0,7.04,4.48,13.8
4489,Martellus Bennett,2014,27.0,TE,70.3,37.0,7.2,4.68,6.5,259.0,34.0,18.0,7.64,4.53,14.773333333333333
4493,Coby Fleener,2014,26.0,TE,55.4,73.0,8.4,4.51,6.5,247.0,0.0,27.0,0.0,0.0,14.700000000000001
4498,Julius Thomas,2014,26.0,TE,69.4,35.0,7.9,4.64,6.416666667,246.0,35.5,16.0,6.96,4.31,16.39
4501,Travis Kelce,2014,25.0,TE,77,34.0,9.9,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,16.654545454545453
4519,Jason Witten,2014,32.0,TE,71.1,34.0,7.8,4.65,6.5,264.0,31.0,25.0,0.0,0.0,10.26875
4523,Heath Miller,2014,32.0,TE,72.5,49.0,8.4,4.79,6.416666667,256.0,0.0,0.0,0.0,0.0,10.00625
4590,Dwayne Allen,2014,24.0,TE,58,41.0,7.9,4.85,6.25,255.0,32.0,27.0,7.12,4.37,8.961538461538462
4612,Owen Daniels,2014,32.0,TE,60.8,39.0,6.7,4.65,6.25,253.0,34.5,23.0,6.87,4.1,9.592307692307692
4614,Jermaine Gresham,2014,26.0,TE,78.5,23.0,5.8,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,9.2
4617,Mychal Rivera,2014,24.0,TE,58.6,33.0,5.4,4.81,6.25,242.0,31.0,17.0,7.17,4.43,13.34
4662,Lance Kendricks,2014,26.0,TE,71.1,23.0,6.8,4.65,6.25,243.0,34.5,25.0,6.94,4.15,5.921428571428572
4681,Andrew Quarless,2014,26.0,TE,63,34.0,7.0,4.68,6.333333333,254.0,32.0,23.0,0.0,0.0,7.209090909090909
4690,Anthony Fasano,2014,30.0,TE,69.4,22.0,6.3,4.72,6.333333333,259.0,33.5,19.0,6.94,4.34,5.507692307692308
4710,Vernon Davis,2014,30.0,TE,52,29.0,4.9,4.38,6.25,254.0,42.0,33.0,7.0,4.17,4.492857142857143
4722,Levine Toilolo,2014,23.0,TE,57.4,20.0,4.4,4.86,6.666666667,260.0,31.0,17.0,7.09,4.57,4.05
4785,Ed Dickson,2014,27.0,TE,58.8,34.0,6.8,4.59,6.333333333,249.0,34.0,23.0,7.32,4.59,2.75
4899,James Hanna,2014,25.0,TE,66.7,27.0,8.0,4.43,6.333333333,252.0,36.0,24.0,6.76,4.11,0.7333333333333334
4908,Michael Hoomanawanui,2014,26.0,TE,50,23.0,7.3,4.77,6.333333333,264.0,0.0,25.0,0.0,0.0,0.6166666666666667
4984,Jimmy Graham,2013,27.0,TE,60.6,56.0,8.6,4.53,6.5,260.0,38.5,0.0,6.9,4.45,25.291666666666668
5001,Vernon Davis,2013,29.0,TE,61.9,64.0,10.1,4.38,6.25,254.0,42.0,33.0,7.0,4.17,14.2
5007,Julius Thomas,2013,25.0,TE,72.2,74.0,8.8,4.64,6.416666667,246.0,35.5,16.0,6.96,4.31,15.414285714285715
5017,Jordan Cameron,2013,25.0,TE,67.8,53.0,7.8,4.53,6.416666667,254.0,37.5,23.0,6.82,4.03,15.264285714285714
5018,Jason Witten,2013,31.0,TE,65.8,34.0,7.7,4.65,6.5,264.0,31.0,25.0,0.0,0.0,12.88125
5029,Greg Olsen,2013,28.0,TE,65.8,31.0,7.4,4.51,6.5,254.0,35.5,23.0,7.04,4.48,11.9125
5043,Martellus Bennett,2013,26.0,TE,69.1,43.0,8.1,4.68,6.5,259.0,34.0,18.0,7.64,4.53,11.26
5051,Jared Cook,2013,26.0,TE,60,47.0,7.9,4.49,6.416666667,246.0,41.0,23.0,0.0,0.0,11.238461538461538
5124,Coby Fleener,2013,25.0,TE,59.8,44.0,7.0,4.51,6.5,247.0,0.0,27.0,0.0,0.0,11.733333333333334
5159,Zach Miller,2013,28.0,TE,58.9,60.0,6.9,4.87,6.333333333,256.0,34.0,0.0,7.01,4.42,8.475
5167,Jermaine Gresham,2013,25.0,TE,67.6,30.0,6.7,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,7.8428571428571425
5170,Heath Miller,2013,31.0,TE,73.4,31.0,7.5,4.79,6.416666667,256.0,0.0,0.0,0.0,0.0,8.664285714285715
5182,Marcedes Lewis,2013,29.0,TE,53.2,41.0,7.6,4.8,6.5,261.0,37.0,23.0,7.24,4.82,7.536363636363637
5184,Tyler Eifert,2013,23.0,TE,65,61.0,7.4,4.68,6.416666667,250.0,35.5,22.0,6.92,4.32,6.366666666666666
5203,Brandon Pettigrew,2013,28.0,TE,65.1,31.0,6.6,4.8,6.416666667,263.0,33.0,22.0,7.12,4.37,6.614285714285714
5206,Rob Housler,2013,25.0,TE,68.4,31.0,8.0,4.46,6.416666667,248.0,37.0,22.0,6.9,4.21,9.040000000000001
5210,Lance Kendricks,2013,25.0,TE,69.6,21.0,5.6,4.65,6.25,243.0,34.5,25.0,6.94,4.15,6.292307692307692
5227,Andrew Quarless,2013,25.0,TE,60.4,22.0,5.9,4.68,6.333333333,254.0,32.0,23.0,0.0,0.0,7.5200000000000005
5261,Ed Dickson,2013,26.0,TE,58.1,43.0,6.3,4.59,6.333333333,249.0,34.0,23.0,7.32,4.59,4.164285714285714
5264,Jim Dray,2013,27.0,TE,81.3,18.0,6.7,4.82,6.416666667,246.0,0.0,17.0,0.0,0.0,3.8333333333333335
5277,Gary Barnidge,2013,28.0,TE,72.2,40.0,7.1,4.61,6.5,243.0,31.0,22.0,6.92,4.23,3.141666666666667
5299,Michael Hoomanawanui,2013,25.0,TE,63.2,19.0,7.2,4.77,6.333333333,264.0,0.0,25.0,0.0,0.0,3.16
5360,Jeron Mastrud,2013,26.0,TE,46.2,41.0,6.8,4.82,6.416666667,256.0,0.0,0.0,0.0,0.0,1.2333333333333334
5477,Craig Stevens,2013,29.0,TE,33.3,6.0,0.8,4.59,6.25,254.0,27.5,27.0,7.07,4.31,0.17857142857142858
5542,Rob Gronkowski,2012,23.0,TE,69.6,41.0,10.0,4.68,6.5,264.0,0.0,23.0,0.0,0.0,18.0
5552,Heath Miller,2012,30.0,TE,70.3,43.0,8.1,4.79,6.416666667,256.0,0.0,0.0,0.0,0.0,13.506666666666666
5558,Jason Witten,2012,30.0,TE,74.8,36.0,7.1,4.65,6.5,264.0,31.0,25.0,0.0,0.0,14.49375
5566,Greg Olsen,2012,27.0,TE,66.3,47.0,8.1,4.51,6.5,254.0,35.5,23.0,7.04,4.48,11.45625
5572,Owen Daniels,2012,30.0,TE,59.6,39.0,6.9,4.65,6.25,253.0,34.5,23.0,6.87,4.1,12.114285714285714
5574,Kyle Rudolph,2012,23.0,TE,57,29.0,5.3,4.83,6.5,259.0,0.0,0.0,0.0,0.0,9.89375
5577,Jermaine Gresham,2012,24.0,TE,68.1,55.0,7.8,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,11.046666666666665
5632,Martellus Bennett,2012,25.0,TE,61.8,33.0,7.0,4.68,6.5,259.0,34.0,18.0,7.64,4.53,9.225
5636,Scott Chandler,2012,27.0,TE,58.1,43.0,7.7,4.78,6.583333333,270.0,30.0,16.0,7.26,4.32,10.315384615384614
5644,Vernon Davis,2012,28.0,TE,67.2,53.0,9.0,4.38,6.25,254.0,42.0,33.0,7.0,4.17,7.8625
5658,Aaron Hernandez,2012,23.0,TE,61.4,31.0,5.8,4.64,6.166666667,245.0,0.0,0.0,0.0,0.0,12.98
5660,Lance Kendricks,2012,24.0,TE,65.6,80.0,8.1,4.65,6.25,243.0,34.5,25.0,6.94,4.15,8.564285714285715
5661,Marcedes Lewis,2012,28.0,TE,67.5,26.0,7.0,4.8,6.5,261.0,37.0,23.0,7.24,4.82,8.666666666666666
5663,Jermichael Finley,2012,25.0,TE,70.1,40.0,7.7,4.82,6.333333333,243.0,27.5,20.0,7.15,4.38,9.835714285714285
5671,Dwayne Allen,2012,22.0,TE,68.2,40.0,7.9,4.85,6.25,255.0,32.0,27.0,7.12,4.37,7.225
5672,Brandon Pettigrew,2012,27.0,TE,57.8,24.0,5.6,4.8,6.416666667,263.0,33.0,22.0,7.12,4.37,11.79090909090909
5683,Joel Dreessen,2012,30.0,TE,70.7,30.0,6.1,4.72,6.333333333,260.0,36.0,22.0,7.09,4.01,7.1066666666666665
5686,Anthony Fasano,2012,28.0,TE,59.4,22.0,4.8,4.72,6.333333333,259.0,33.5,19.0,6.94,4.34,6.6375
5703,Zach Miller,2012,27.0,TE,71.7,30.0,7.5,4.87,6.333333333,256.0,34.0,0.0,7.01,4.42,6.239999999999999
5718,Tony Moeaki,2012,25.0,TE,58.9,38.0,8.1,4.69,6.25,245.0,34.0,18.0,7.1,4.42,6.021428571428571
5745,Coby Fleener,2012,24.0,TE,54.2,26.0,5.9,4.51,6.5,247.0,0.0,27.0,0.0,0.0,6.609999999999999
5763,Craig Stevens,2012,28.0,TE,69.7,46.0,8.3,4.59,6.25,254.0,27.5,27.0,7.07,4.31,3.7666666666666666
5767,Kellen Davis,2012,27.0,TE,43.2,25.0,5.2,4.59,6.5,262.0,28.0,22.0,7.25,4.38,3.46
5811,Ed Dickson,2012,25.0,TE,63.6,40.0,6.8,4.59,6.333333333,249.0,34.0,23.0,7.32,4.59,3.9545454545454546
5813,Luke Stocker,2012,24.0,TE,59.3,33.0,6.1,4.68,6.416666667,258.0,33.0,27.0,7.03,4.4,3.5
5862,Jeff King,2012,29.0,TE,58.6,27.0,4.4,4.83,6.416666667,245.0,32.5,21.0,6.99,4.09,2.4916666666666667
5934,Randy McMichael,2012,33.0,TE,69.2,13.0,3.9,4.88,6.25,247.0,29.5,18.0,7.58,4.28,1.41
