,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
2868,Devonta Freeman,2017,25.0,RB,4.4,4.58,206.0,31.5,0.0,7.11,4.26,6.7,76.6,14.299999999999999
2871,Lamar Miller,2017,26.0,RB,3.7,4.34,212.0,33.0,0.0,0.0,0.0,7.3,80,14.884615384615385
2880,Christian McCaffrey,2017,21.0,RB,3.7,4.48,202.0,37.5,10.0,6.57,4.22,5.8,70.8,22.86
2883,Alex Collins,2017,23.0,RB,4.6,4.59,217.0,28.5,18.0,0.0,0.0,5.2,63.9,14.25
2885,C.J. Anderson,2017,26.0,RB,4.1,4.6,224.0,32.0,17.0,7.15,4.12,5.6,70,10.94375
2889,Frank Gore,2017,34.0,RB,3.7,4.58,217.0,0.0,0.0,0.0,0.0,6.4,76.3,10.85
2890,Marshawn Lynch,2017,31.0,RB,4.3,4.46,215.0,35.5,20.0,7.05,4.55,4.9,64.5,10.946666666666665
2904,DeMarco Murray,2017,29.0,RB,3.6,4.37,213.0,34.5,21.0,7.28,4.18,5.7,83,11.433333333333334
2933,Bilal Powell,2017,29.0,RB,4.3,4.51,207.0,0.0,18.0,0.0,0.0,5.2,69.7,14.52
2937,Isaiah Crowell,2017,24.0,RB,4.1,4.57,224.0,38.0,23.0,0.0,0.0,4.3,66.7,8.96875
2947,Jonathan Stewart,2017,30.0,RB,3.4,4.46,235.0,36.5,28.0,0.0,0.0,3.5,53.3,11.72
2956,LeGarrette Blount,2017,31.0,RB,4.4,4.7,241.0,35.0,18.0,6.85,4.49,6.3,100,9.781818181818181
2958,Ameer Abdullah,2017,24.0,RB,3.3,4.6,205.0,42.5,24.0,6.79,3.95,4.6,71.4,11.30909090909091
3374,David Johnson,2016,25.0,RB,4.2,4.5,224.0,41.5,25.0,6.82,4.27,7.3,66.7,25.4875
