Rk,Player,qb_score,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,CAY/PA_scaled,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,OnTgt%_scaled,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Yds/Scr_scaled,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
29,Jameis Winston,-0.428888125,30,CLE,QB,12,7,181,296,2632,8.9,1356,7.5,4.6,1.261295172,765,4.2,11,4,1,13,4.5,52,17.9,205,70.4,-1.015634599,2.4,61,23,24,71,21.6,8,5.8,-0.945578473,25,193,20,163,4,30,51,610,,WinsJa00
30,Dak Prescott,-0.447117365,31,DAL,QB,8,8,185,286,2255,7.9,1039,5.6,3.6,-0.086242405,939,5.1,6,5,2,6,2.2,50,17.9,199,71.3,-0.816403749,2.3,62,31,28,80,25.6,6,7.5,-0.069419554,32,200,29,200,1,0,42,312,,PresDa01
7,Caleb Williams,-0.475957055,23,CHI,QB,17,17,351,562,4443,7.9,1675,4.8,3,-0.894764951,1866,5.3,9,36,4,20,3.8,110,21.1,378,72.4,-0.572899377,2.4,174,52,40,160,23.5,51,7.9,0.136735486,53,335,34,268,13,67,85,626,AP ORoY-10,WillCa03
37,Spencer Rattler,-0.51114903,24,NOR,QB,7,6,130,228,1831,8,675,5.2,3,-0.894764951,642,4.9,6,13,1,15,7,39,18.2,153,71.5,-0.772130227,2.4,61,16,16,54,20.5,14,8.4,0.394429285,14,93,12,65,1,28,33,284,,RattSp00
34,Mac Jones,-0.634518728,26,JAX,QB,10,7,171,262,1869,7.1,764,4.5,2.9,-1.029518709,908,5.3,5,12,0,7,2.8,45,18,184,73.6,-0.307258244,2.3,62,9,18,41,14.1,14,5.9,-0.894039713,27,170,26,170,0,0,33,234,,JoneMa05
46,Michael Penix,-1.034184055,24,ATL,QB,5,3,61,105,1057,10.1,504,8.3,4.8,1.530802687,271,4.4,1,2,0,7,6.8,23,22.3,69,67,-1.768284477,2.3,32,4,8,16,14.2,4,3.5,-2.130969952,2,6,2,6,0,0,17,120,,PeniMi00
47,Desmond Ridder,-1.144997245,25,LVR,QB,6,1,52,85,687,8.1,257,4.9,3,-0.894764951,201,3.9,1,4,1,2,2.5,15,18.8,55,68.8,-1.369822777,2.2,21,6,9,25,24.8,6,5.8,-0.945578473,8,19,6,18,2,1,4,19,,RiddDe00
45,Dorian Thompson-Robinson,-1.150117628,25,CLE,QB,7,2,61,118,716,6.1,189,3.1,1.6,-2.781317558,251,4.1,1,10,0,11,10.2,19,17.6,78,72.2,-0.6171729,2.2,24,7,18,33,25,6,6.5,-0.584807154,32,166,23,82,7,84,11,36,,ThomDo02
26,Cooper Rush,-1.335118273,31,DAL,QB,12,8,187,308,2077,6.7,902,4.8,2.9,-1.029518709,942,5,17,5,1,13,4.3,55,18.2,208,68.9,-1.347686016,2.3,68,25,19,57,17.5,4,4.5,-1.615582353,35,199,31,194,3,5,41,268,,RushCo00
33,Anthony Richardson,-1.65064569,22,IND,QB,11,11,126,264,3210,12.2,1038,8.2,3.9,0.318018868,776,6.2,5,12,2,12,4.8,70,28,145,58,-3.760592976,2.4,67,35,30,79,26.4,21,8.8,0.600584325,69,555,49,447,18,108,77,708,AP CPoY-25,RichAn03
50,Tanner McKee,-1.754172422,24,PHI,QB,2,1,30,45,296,6.6,185,6.2,4.1,0.587526383,138,4.6,1,0,0,0,0,9,20,30,66.7,-1.83469476,2.3,17,0,5,7,14.9,0,,-3.93482655,6,58,6,58,0,0,12,97,,McKeTa01
