,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
34,AJ Dillon,RB,24,2022,139.9180000000001,,,,
35,DeeJay Dallas,RB,24,2022,139.9180000000001,,,,
36,Kenyan Drake,RB,28,2022,137.48100000000002,,,,
37,Dameon Pierce,RB,22,2022,135.91700000000003,49.0,12.0,22.0,78.0
38,Jerick McKinnon,RB,30,2022,135.36500000000007,120.0,11.6,84.0,150.0
39,Rhamondre Stevenson,RB,24,2022,133.089,21.0,3.3,13.0,34.0
40,Tyler Allgeier,RB,22,2022,131.84000000000003,114.0,23.4,67.0,154.0
41,Zack Moss,RB,25,2022,131.52700000000002,,,,
42,Melvin Gordon,RB,29,2022,131.12300000000005,221.0,20.5,120.0,209.0
43,Chase Edmonds,RB,26,2022,126.90299999999999,156.0,16.8,103.0,183.0
44,Rachaad White,RB,23,2022,124.47800000000005,71.0,6.5,47.0,84.0
45,Chuba Hubbard,RB,23,2022,124.47800000000005,196.0,20.0,105.0,194.0
46,David Johnson,RB,31,2022,120.82300000000005,,,,
47,Raheem Mostert,RB,30,2022,120.605,116.0,17.9,66.0,165.0
48,Darrel Williams,RB,27,2022,120.0490000000001,,,,
49,Dontrell Hilliard,RB,27,2022,120.0490000000001,,,,
50,Caleb Huntley,RB,24,2022,116.20600000000009,,,,
51,Malcolm Brown,RB,29,2022,115.13000000000005,,,,
52,Devin Singletary,RB,25,2022,113.07200000000003,121.0,13.6,79.0,152.0
53,Ronald Jones II,RB,25,2022,112.78499999999998,,,,
54,Isiah Pacheco,RB,23,2022,112.46000000000002,77.0,9.8,46.0,98.0
55,Myles Gaskin,RB,25,2022,108.45499999999993,,,,
56,AJ Dillon,RB,24,2022,107.59800000000004,,,,
57,DeeJay Dallas,RB,24,2022,107.59800000000004,,,,
58,Saquon Barkley,RB,25,2022,106.06600000000005,8.0,2.2,3.0,16.0
59,James Cook,RB,23,2022,105.25300000000001,80.0,10.0,52.0,99.0
60,Mike Davis,RB,29,2022,105.22599999999997,,,,
62,Michael Carter,RB,23,2022,104.95299999999997,145.0,16.7,100.0,180.0
63,Gary Brightwell,RB,23,2022,104.95299999999997,,,,
64,Nyheim Hines,RB,26,2022,104.36800000000005,,,,
65,Sony Michel,RB,27,2022,101.58699999999993,,,,
